source_level,electrode_stage,site_name,phi_elec_uV
monopole,A,site_00,4.923117645338803
monopole,B,site_00,8.435431221420055
monopole,C,site_00,6.948166345689295
monopole,C,site_01,6.948166345689291
monopole,C,site_10,6.9481663456892955
monopole,C,site_11,6.948166345689292
monopole,D,site_00_0,3.8021215989263517
monopole,D,site_00_1,3.8021215989263513
monopole,D,site_01_0,5.396483205439897
monopole,D,site_01_1,5.396483205439897
monopole,D,site_02_0,7.426096961639273
monopole,D,site_02_1,7.426096961639272
monopole,D,site_03_0,8.61014207532979
monopole,D,site_03_1,8.61014207532979
monopole,D,site_04_0,7.426096961639272
monopole,D,site_04_1,7.42609696163927
monopole,D,site_05_0,5.3964832054398935
monopole,D,site_05_1,5.3964832054398935
monopole,D,site_06_0,3.80212159892635
monopole,D,site_06_1,3.80212159892635
dipole,A,site_00,-0.7098052029333536
dipole,B,site_00,-1.2895049775656267
dipole,C,site_00,-1.3490823816480373
dipole,C,site_01,-1.3490823816480368
dipole,C,site_10,-0.7348120740185932
dipole,C,site_11,-0.734812074018593
dipole,D,site_00_0,-0.9263206757000544
dipole,D,site_00_1,-0.9263206757000543
dipole,D,site_01_0,-1.3005677101831885
dipole,D,site_01_1,-1.3005677101831885
dipole,D,site_02_0,-1.559812984303042
dipole,D,site_02_1,-1.5598129843030413
dipole,D,site_03_0,-1.3417453937013029
dipole,D,site_03_1,-1.3417453937013029
dipole,D,site_04_0,-0.7228972603442988
dipole,D,site_04_1,-0.7228972603442986
dipole,D,site_05_0,-0.20896070952723106
dipole,D,site_05_1,-0.20896070952723106
dipole,D,site_06_0,0.04344735065136438
dipole,D,site_06_1,0.04344735065136436
detailed,A,site_00,0.2800166270328544
detailed,B,site_00,0.5220228441118175
detailed,C,site_00,0.25902772147983105
detailed,C,site_01,0.3324992257311933
detailed,C,site_10,0.4418349244045935
detailed,C,site_11,0.5181786102408658
detailed,D,site_00_0,-0.03762121480545047
detailed,D,site_00_1,-0.021586341837724125
detailed,D,site_01_0,0.05447265220046522
detailed,D,site_01_1,0.07670060981809008
detailed,D,site_02_0,0.2652716863441539
detailed,D,site_02_1,0.29207479435885825
detailed,D,site_03_0,0.4999438789984657
detailed,D,site_03_1,0.528613660229771
detailed,D,site_04_0,0.5209511981116056
detailed,D,site_04_1,0.548880842844579
detailed,D,site_05_0,0.3900325813687833
detailed,D,site_05_1,0.4127634463925418
detailed,D,site_06_0,0.2594071231552375
detailed,D,site_06_1,0.2755914722314539
