source_level,electrode_stage,solver_family,site_count,includes_probe_body,sigma_probe_S_per_m,t_enc_um,sigma_enc_S_per_m,mean_phi_elec_uV,max_abs_phi_elec_uV
monopole,A,cartesian_3d_fvm,1,0,0.3,24.999999999999996,0.1,4.923117645338803,4.923117645338803
monopole,B,cartesian_3d_fvm,1,1,1e-06,24.999999999999996,0.1,8.435431221420055,8.435431221420055
monopole,C,cartesian_3d_fvm,4,1,1e-06,24.999999999999996,0.1,6.948166345689294,6.9481663456892955
monopole,D,cartesian_3d_fvm,14,1,1e-06,24.999999999999996,0.1,5.979935086762976,8.61014207532979
dipole,A,cartesian_3d_fvm,1,0,0.3,24.999999999999996,0.1,-0.7098052029333536,0.7098052029333536
dipole,B,cartesian_3d_fvm,1,1,1e-06,24.999999999999996,0.1,-1.2895049775656267,1.2895049775656267
dipole,C,cartesian_3d_fvm,4,1,1e-06,24.999999999999996,0.1,-1.041947227833315,1.3490823816480373
dipole,D,cartesian_3d_fvm,14,1,1e-06,24.999999999999996,0.1,-0.859551054729679,1.559812984303042
detailed,A,cartesian_3d_fvm,1,0,0.3,24.999999999999996,0.1,0.2800166270328544,0.2800166270328544
detailed,B,cartesian_3d_fvm,1,1,1e-06,24.999999999999996,0.1,0.5220228441118175,0.5220228441118175
detailed,C,cartesian_3d_fvm,4,1,1e-06,24.999999999999996,0.1,0.3878851204641209,0.5181786102408658
detailed,D,cartesian_3d_fvm,14,1,1e-06,24.999999999999996,0.1,0.2903925992436308,0.548880842844579
